clientCountry,clientCity,clientAsn,clientNetwork,balancerColocationCenter,requests
BH,Al Muharraq,16509,Amazon.com,MRS,2998
BH,Al Muharraq,16509,Amazon.com,DXB,2
CA,Montreal,26832,Rica Web Services,YYZ,1002
CA,Montreal,26832,Rica Web Services,YUL,492
FR,Roubaix,16276,OVH,CDG,1719
FR,Roubaix,16276,OVH,AMS,780
FR,Roubaix,16276,OVH,FRA,501
HR,Karlovac,5391,Hrvatski Telekom,ZAG,454
HR,Karlovac,5391,Hrvatski Telekom,VIE,45
IS,Reykjavik,57043,HOSTKEY,AMS,1513
IS,Reykjavik,57043,HOSTKEY,LHR,1487
IT,Monza,202613,Aruba,MXP,500
IT,Monza,202613,Aruba,FCO,498
LC,Gros Islet,26832,Rica Web Services,YYZ,2741
LC,Gros Islet,26832,Rica Web Services,YUL,259
LV,Riga,39900,GOOD,ARN,1512
LV,Riga,39900,GOOD,WAW,1488
MX,Morelia,28398,INTERNET TELEFONIA Y TV DE MICHOACAN,DFW,326
MX,Morelia,28398,INTERNET TELEFONIA Y TV DE MICHOACAN,QRO,175
NG,Lagos,214354,SiteHUB Agency,LOS,2963
NG,Lagos,214354,SiteHUB Agency,LIS,37
PK,Islamabad,150315,Virtury Cloud,KHI,2366
PK,Islamabad,150315,Virtury Cloud,SIN,130
PK,Karachi,21859,Zenlayer,KHI,458
PK,Karachi,21859,Zenlayer,SIN,31
PK,Karachi,21859,Zenlayer,HKG,15
PL,Warsaw,16276,OVH,WAW,2818
PL,Warsaw,16276,OVH,KBP,182
PY,Asuncion,23201,Telecel,GRU,2994
PY,Asuncion,23201,Telecel,ASU,6
RU,Moscow,49392,Baxet,ARN,1747
RU,Moscow,49392,Baxet,DME,1253
TH,Bangkok,17552,True Online,BKK,1157
TH,Bangkok,17552,True Online,NRT,346
TH,Bangkok,21859,Zenlayer,BKK,603
TH,Bangkok,21859,Zenlayer,SIN,401
TJ,Dushanbe,43030,Tajik Academician Research and Educational Network,ARN,2703
TJ,Dushanbe,43030,Tajik Academician Research and Educational Network,DME,295
TJ,Dushanbe,43030,Tajik Academician Research and Educational Network,LED,2
UA,Kyiv,214379,South Park Networks,WAW,1722
UA,Kyiv,214379,South Park Networks,KBP,1278
US,Buffalo,36352,HostPapa,BUF,971
US,Buffalo,36352,HostPapa,YYZ,553
VU,Port-Vila,9249,Telecom Vanuatu,SYD,484
VU,Port-Vila,9249,Telecom Vanuatu,SUV,330
