timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1768000528.564,933f73,78.47.127.78,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,31,1,6,13,10,1
1768000529.154,725f88,213.143.120.114,AT,VIE,cloudflare.com,https,http/2,TLSv1.3,AT,Vienna,29287,Wien Energie,21,3,2,8,7,1
1768000530.264,785f189,198.27.74.9,CA,YYZ,cloudflare.com,https,http/2,TLSv1.3,CA,Beauharnois,16276,OVH,41,2,8,18,12,1
1768000531.431,397f343,35.208.123.65,US,ORD,cloudflare.com,https,http/2,TLSv1.3,US,Omaha,15169,Google,62,6,13,18,24,1
1768000532.204,65f222,193.180.215.11,DK,CPH,cloudflare.com,https,http/2,TLSv1.3,DK,Frederiksberg,44803,Webdock.io,462,6,5,18,425,8
1768000532.712,470f34,185.55.241.103,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Frankfurt,35042,Layer7 Networks,38,5,1,15,15,2
1768000533.111,972f103,185.229.64.252,MD,OTP,cloudflare.com,https,http/2,TLSv1.3,MD,Chisinau,201670,S.C. INFOTECH-GRUP,47,2,10,19,14,2
1768000533.702,618f112,79.127.205.144,US,LAX,cloudflare.com,https,http/2,TLSv1.3,US,Los Angeles,60068,Datacamp,22,4,2,7,9,0
1768000534.264,125f128,170.39.225.136,US,MCI,cloudflare.com,https,http/2,TLSv1.3,US,Kansas City,917,Misaka Network,61,24,2,18,12,5
1768000534.626,608f9,195.201.103.249,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Nuremberg,24940,Hetzner Online,50,5,5,19,18,3
1768000535.452,23f816,192.131.142.120,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,133752,LeaseWeb,21,1,1,6,12,1
1768000535.949,785f119,107.175.40.47,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,20278,Nexeon Technologies,102,36,13,26,24,3
1768000536.601,218f205,157.85.209.98,ID,CGK,cloudflare.com,https,http/2,TLSv1.3,ID,Bandung,139994,XL Axiata,79,6,20,27,25,1
1768000538.403,218f256,103.3.220.164,ID,CGK,cloudflare.com,https,http/2,TLSv1.3,ID,Sleman,139994,XL Axiata,170,23,17,42,82,6
1768000539.552,979f37,91.239.7.56,AL,MXP,cloudflare.com,https,http/2,TLSv1.3,AL,Tirana,213683,Host.AL,100,20,18,34,26,2
1768000540.731,994f91,192.145.57.177,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Goudswaard,201290,BlackGATE,147,8,5,93,32,9
1768000541.846,960f100,172.93.128.175,US,ORD,cloudflare.com,https,http/2,TLSv1.3,US,Chicago,20278,Nexeon Technologies,24,4,2,10,7,1
1768000542.463,388f520,199.119.137.8,US,EWR,cloudflare.com,https,http/2,TLSv1.3,US,Secaucus,53724,EXTRAVM,29,9,2,6,11,1
