timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1768169746.792,20f715,150.40.127.4,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Meppel,211619,MAXKO,42,6,4,19,11,2
1768169747.229,982f12,37.156.246.169,TR,IST,cloudflare.com,https,http/2,TLSv1.3,TR,Istanbul,209711,MUV Bilisim ve Telekomunikasyon Hizmetleri,92,45,8,20,17,2
1768169748.378,1231f39,192.184.250.197,US,SJC,cloudflare.com,https,http/2,TLSv1.3,US,San Francisco,46375,Sonic Telecom,148,11,7,62,60,8
1768169748.886,1061f15,200.14.81.187,CL,SCL,cloudflare.com,https,http/2,TLSv1.3,CL,Santiago,270013,J AND J SPA (INFOFRACTAL),23,6,2,8,7,0
1768169749.636,47f201,203.57.115.22,AU,MEL,cloudflare.com,https,http/2,TLSv1.3,AU,Melbourne,133159,Mammoth Media,24,1,1,12,10,0
1768169750.321,972f59,185.229.64.252,MD,OTP,cloudflare.com,https,http/2,TLSv1.3,MD,Chisinau,201670,S.C. INFOTECH-GRUP,63,3,11,22,26,1
1768169750.845,727f252,45.158.77.216,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Lyon,207992,FEELB,50,10,7,17,15,1
1768169751.668,454f6,160.191.182.157,IN,MAA,cloudflare.com,https,http/2,TLSv1.3,IN,Bengaluru,153393,RACKVOLT CLOUD SOLUTIONS,145,62,21,30,31,1
1768169752.645,1021f21,80.211.198.90,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Prague,24806,INTERNET CZ,63,27,5,20,9,2
1768169753.964,52f71,91.250.249.133,IE,DUB,cloudflare.com,https,http/2,TLSv1.3,IE,Dublin,202448,MVPS,35,18,1,10,5,1
1768169759.894,920f59,152.67.79.186,CH,ZRH,cloudflare.com,https,http/2,TLSv1.3,CH,Zurich,31898,Oracle,139,9,1,66,61,2
1768169760.375,979f10,129.152.5.39,IT,MXP,cloudflare.com,https,http/2,TLSv1.3,IT,Milan,31898,Oracle,18,5,1,7,5,0
1768169761.053,649f80,151.236.22.118,US,EWR,cloudflare.com,https,http/2,TLSv1.3,US,New York,9009,M247,22,4,1,10,6,1
1768169761.634,920f29,34.65.141.164,CH,ZRH,cloudflare.com,https,http/2,TLSv1.3,CH,Zurich,396982,Google,29,4,3,9,12,1
1768169762.241,11f633,207.174.40.191,CA,EWR,cloudflare.com,https,http/2,TLSv1.3,CA,Montreal,1002,Bytefilter,56,11,10,18,16,1
1768169762.735,930f76,89.31.121.15,RS,FRA,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,9009,M247,103,28,19,28,27,1
1768169763.444,1047f66,104.225.131.106,US,MIA,cloudflare.com,https,http/2,TLSv1.3,US,Jacksonville,395092,Shock Hosting,90,59,7,12,12,0
1768169764.309,979f19,172.232.207.168,IT,MXP,cloudflare.com,https,http/2,TLSv1.3,IT,Milan,63949,Akamai Connected Cloud,21,3,1,8,9,0
1768169765.169,497f550,2.57.241.74,SG,SIN,cloudflare.com,https,http/2,TLSv1.3,SG,Singapore,43180,Trunk Networks,19,3,1,7,8,0
1768169765.491,933f99,157.90.3.79,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,29,2,5,12,9,1
1768169766.371,89f68,187.33.151.64,ES,BCN,cloudflare.com,https,http/2,TLSv1.3,ES,Barcelona,49635,CLOUDI NEXTGEN,28,3,2,10,12,1
1768169766.916,1231f140,173.249.207.55,US,SJC,cloudflare.com,https,http/2,TLSv1.3,US,San Jose,11878,tzulo,47,8,2,16,18,3
1768169767.278,74f117,38.99.95.14,MK,SOF,cloudflare.com,https,http/2,TLSv1.3,MK,Skopje,213900,RS Computers,33,5,4,13,10,1
1768169767.964,354f43,198.46.217.224,US,IAD,cloudflare.com,https,http/2,TLSv1.3,US,Ashburn,36352,HostPapa,57,25,1,13,16,2
1768169769.183,74f146,45.137.201.15,BG,SOF,cloudflare.com,https,http/2,TLSv1.3,BG,Sofia,211507,Julian Achter,452,116,5,124,153,54
1768169769.923,933f102,64.130.50.5,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Frankfurt,20326,TeraSwitch Networks,33,5,6,11,11,0
1768169770.753,1024f110,150.136.34.37,US,IAD,cloudflare.com,https,http/2,TLSv1.3,US,Ashburn,31898,Oracle,22,3,1,7,10,1
1768169771.466,491f13,152.69.161.94,AU,SYD,cloudflare.com,https,http/2,TLSv1.3,AU,Sydney,31898,Oracle,28,9,1,10,8,0
1768169772.48,386f281,198.98.52.34,US,EWR,cloudflare.com,https,http/2,TLSv1.3,US,New York,53667,FranTech Solutions,86,25,3,16,37,5
1768169773.821,997f36,51.15.66.62,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Amsterdam,12876,SCALEWAY,50,9,2,23,13,3
1768169774.393,572f138,34.145.180.2,US,IAD,cloudflare.com,https,http/2,TLSv1.3,US,Washington,396982,Google,22,7,2,7,5,1
1768169774.839,928f115,89.58.3.251,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Nuremberg,197540,netcup,37,3,4,18,10,2
1768169775.57,649f241,23.137.57.29,CA,EWR,cloudflare.com,https,http/2,TLSv1.3,CA,Toronto,1002,Bytefilter,67,11,10,19,26,1
1768169776.174,123f126,91.219.237.76,HU,BUD,cloudflare.com,https,http/2,TLSv1.3,HU,Budapest,56322,ServerAstra,25,2,1,11,9,2
1768169776.828,12f875,23.95.34.134,US,LAX,cloudflare.com,https,http/2,TLSv1.3,US,Los Angeles,36352,HostPapa,53,7,1,28,14,3
1768169777.679,107f211,176.223.25.134,PT,LIS,cloudflare.com,https,http/2,TLSv1.3,PT,Barreiro,20879,Digi,23,3,2,12,6,0
1768169778.178,17f357,23.137.104.66,US,MIA,cloudflare.com,https,http/2,TLSv1.3,US,Miami,206216,Advin Services,16,1,1,6,7,1
1768169779.341,411f336,142.91.101.27,SG,SIN,cloudflare.com,https,http/2,TLSv1.3,SG,Singapore,59253,LeaseWeb,16,2,2,7,5,0
1768169780.109,127f71,151.243.55.140,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Chumphon,133504,PAOCLOUD,143,49,28,32,33,1
1768169780.778,932f54,116.202.17.139,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,61,5,12,28,14,2
1768169781.356,923f118,89.223.91.66,PL,WAW,cloudflare.com,https,http/2,TLSv1.3,PL,Warsaw,202422,G-Core Labs,28,4,1,12,10,1
1768169782.096,397f223,35.208.123.65,US,ORD,cloudflare.com,https,http/2,TLSv1.3,US,Omaha,19527,Google,72,1,13,19,37,2
1768169782.592,727f121,86.223.194.200,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Nancy,3215,Orange,41,7,7,15,11,1
1768169783.127,930f39,194.28.99.233,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Dusseldorf,34872,Servperso Systems,40,9,5,12,13,1
1768169784.057,1233f41,177.185.64.13,BR,GRU,cloudflare.com,https,http/2,TLSv1.3,BR,Montes Claros,52928,NORTETEL TELECOMUNICACOES,98,22,18,26,31,1
1768169784.782,21f1063,31.104.158.1,GB,LHR,cloudflare.com,https,http/2,TLSv1.3,GB,Woking,2856,British Telecommunications,36,4,4,13,13,2
1768169785.496,199f16,107.172.222.110,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,56,22,1,9,22,2
1768169786.675,631f35,160.191.77.74,SG,SIN,cloudflare.com,https,http/2,TLSv1.3,SG,Singapore,149020,WebHorizon Internet Services,31,2,2,6,16,5
1768169787.018,995f26,62.84.172.49,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Amsterdam,214677,DELUXHOST,35,4,2,19,8,2
1768169787.829,734f15,103.161.185.148,ID,CGK,cloudflare.com,https,http/2,TLSv1.3,ID,Jakarta,141623,Registrasi Neva Angkasa,38,3,1,10,21,3
1768169788.599,113f79,197.88.225.1,ZA,CPT,cloudflare.com,https,http/2,TLSv1.3,ZA,Cape Town,20011,Dimension Data,57,6,2,26,19,4
1768169789.688,411f318,64.235.41.70,SG,SIN,cloudflare.com,https,http/2,TLSv1.3,SG,Singapore,26277,ServerPoint.com,232,207,1,14,8,2
1768169790.563,454f18,49.37.177.210,IN,MAA,cloudflare.com,https,http/2,TLSv1.3,IN,Bengaluru,55836,Reliance Jio Infocomm,93,6,10,53,22,2
1768169791.673,218f222,182.253.225.83,ID,CGK,cloudflare.com,https,http/2,TLSv1.3,ID,Jakarta,38482,Biznet ISP,30,3,2,13,11,1
1768169792.447,67f159,84.186.203.198,DE,TXL,cloudflare.com,https,http/2,TLSv1.3,DE,Berlin,3320,Deutsche Telekom,99,22,4,33,32,8
1768169792.929,521f174,213.170.133.50,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Amsterdam,202602,Greencloud,19,2,2,7,7,1
1768169793.587,927f181,185.120.139.217,ES,MAD,cloudflare.com,https,http/2,TLSv1.3,ES,Madrid,56630,Melbikomas,69,30,3,22,12,2
1768169794.281,997f58,104.167.214.6,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Amsterdam,60841,BerryByte,68,15,14,19,19,1
1768169795.318,786f30,142.44.198.227,CA,YYZ,cloudflare.com,https,http/2,TLSv1.3,CA,Montreal,16276,OVH,56,1,8,15,30,2
1768169796.024,999f12,34.34.223.189,ID,CGK,cloudflare.com,https,http/2,TLSv1.3,ID,Jakarta,396982,Google,23,5,2,8,7,1
1768169796.689,492f98,163.47.117.110,AU,SYD,cloudflare.com,https,http/2,TLSv1.3,AU,Adelaide,45570,Network Presence,108,25,22,29,31,1
1768169797.744,582f77,123.253.112.239,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,45352,IP ServerOne Solutions,94,71,3,12,8,0
1768169798.833,636f159,46.62.129.141,FI,FRA,cloudflare.com,https,http/2,TLSv1.3,FI,Helsinki,24940,Hetzner Online,82,4,22,29,26,1
1768169799.627,28f856,35.212.244.68,US,SEA,cloudflare.com,https,http/2,TLSv1.3,US,Dalles,15169,Google,414,4,8,13,269,120
1768169800.764,284f4,45.87.245.20,RU,KJA,cloudflare.com,https,http/2,TLSv1.3,RU,Novosibirsk,212165,Alex Group,123,1,11,94,16,1
1768169801.04,538f60,82.22.77.160,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Magny-les-Hameaux,198825,VERYCLOUD,85,32,1,27,23,2
1768169801.625,992f30,85.118.189.113,AT,VIE,cloudflare.com,https,http/2,TLSv1.3,AT,Scharding,49808,Energie AG Oberoesterreich Services und Digital Solutions,100,52,7,19,19,3
1768169802.103,929f51,38.59.230.174,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Frankfurt,60024,HK CEDOC,25,4,2,11,7,1
1768169803.251,520f201,92.112.124.237,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Amsterdam,214677,DELUXHOST,50,7,1,26,12,4
1768169803.8,522f87,45.151.156.210,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Amsterdam,208258,Access2.IT Network,43,13,2,20,8,0
1768169804.541,997f34,46.231.21.1,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Rijswijk,201290,BlackGATE,237,13,6,130,82,6
1768169805.647,336f228,195.93.226.3,TR,IST,cloudflare.com,https,http/2,TLSv1.3,TR,Istanbul,206271,Fatih Unlu,35,1,5,12,16,1
1768169806.044,637f21,78.47.98.61,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,33,1,6,14,12,0
1768169806.881,597f180,140.238.186.37,BR,GRU,cloudflare.com,https,http/2,TLSv1.3,BR,Sao Paulo,31898,Oracle,19,1,1,8,8,1
1768169807.237,74f160,213.183.63.63,BG,SOF,cloudflare.com,https,http/2,TLSv1.3,BG,Sofia,56630,Melbikomas,24,3,1,11,8,1
1768169808.097,650f230,155.248.226.71,CA,EWR,cloudflare.com,https,http/2,TLSv1.3,CA,Montreal,31898,Oracle,74,13,16,22,23,0
1768169808.298,920f23,45.91.92.19,CH,ZRH,cloudflare.com,https,http/2,TLSv1.3,CH,Zurich,63473,HostHatch,19,2,0,5,11,1
1768169812.062,521f141,77.164.84.13,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Amsterdam,1136,KPN,3222,3009,3,143,50,17
1768169813.162,1174f55,47.79.90.253,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,45102,Alibaba (US) Technology,31,9,2,9,9,2
1768169814.15,22f389,178.236.37.42,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,38136,Akari Networks,14,2,1,5,5,1
1768169815.784,1009f45,194.68.27.61,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,9009,M247,37,4,1,20,6,6
1768169816.502,114f288,46.183.186.22,HU,VIE,cloudflare.com,https,http/2,TLSv1.3,HU,Budapest,5483,Magyar Telekom,42,10,5,11,16,0
1768169817.247,721f60,151.236.8.81,AT,VIE,cloudflare.com,https,http/2,TLSv1.3,AT,Vienna,57169,EDIS,45,4,2,24,13,2
1768169817.647,572f158,15.204.232.173,US,IAD,cloudflare.com,https,http/2,TLSv1.3,US,Reston,16276,OVH,19,4,1,8,6,0
1768169818.409,999f20,118.99.91.13,ID,CGK,cloudflare.com,https,http/2,TLSv1.3,ID,Surakarta,17451,BIZNET NETWORKS,54,3,13,22,16,0
1768169818.673,52f259,172.245.97.177,IE,DUB,cloudflare.com,https,http/2,TLSv1.3,IE,Dublin,36352,HostPapa,31,14,1,9,6,1
1768169819.47,929f37,213.227.152.91,NL,FRA,cloudflare.com,https,http/2,TLSv1.3,NL,Amsterdam,60781,LeaseWeb,86,6,8,33,35,4
1768169819.776,123f101,195.111.2.2,HU,BUD,cloudflare.com,https,http/2,TLSv1.3,HU,Budapest,1955,KIFU (Governmental Info Tech Development Agency),13,2,1,4,6,0
1768169820.517,986f19,91.165.164.73,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Chalons-en-Champagne,12322,Free,197,103,10,60,20,4
1768169821.143,1231f12,45.79.111.31,US,SJC,cloudflare.com,https,http/2,TLSv1.3,US,Fremont,63949,Akamai Connected Cloud,44,7,2,17,16,2
1768169821.868,522f7,151.243.213.175,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Amsterdam,214677,DELUXHOST,66,2,1,5,51,7
1768169822.077,933f94,91.98.126.143,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Nuremberg,24940,Hetzner Online,39,3,5,15,13,3
1768169822.765,636f236,94.16.112.150,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Nuremberg,197540,netcup,131,12,5,56,43,15
1768169823.728,928f54,185.55.80.83,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Nuremberg,47526,handily networks,42,8,4,17,11,2
1768169824.785,684f99,24.212.181.113,CA,YYZ,cloudflare.com,https,http/2,TLSv1.3,CA,Guelph,5645,TekSavvy Solutions,172,5,24,103,36,4
1768169825.839,12f898,107.173.37.233,US,LAX,cloudflare.com,https,http/2,TLSv1.3,US,Los Angeles,36352,HostPapa,30,6,1,12,11,0
1768169826.381,1231f147,43.135.140.99,US,SJC,cloudflare.com,https,http/2,TLSv1.3,US,Santa Clara,132203,Tencent Building, Kejizhongyi Avenue,22,5,5,6,5,1
1768169827.003,650f225,66.23.198.3,US,EWR,cloudflare.com,https,http/2,TLSv1.3,US,Philadelphia,400304,CRUNCHBITS,59,9,4,25,18,3
1768169827.736,574f38,211.22.230.192,TW,KHH,cloudflare.com,https,http/2,TLSv1.3,TW,Tainan,3462,Data Communication Business Group,62,16,4,27,13,2
1768169829.138,1031f95,130.240.202.175,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Lulea,2831,Lulea Tekniska Universitet,139,24,13,61,17,24
1768169829.978,26f268,140.238.207.189,AU,SYD,cloudflare.com,https,http/2,TLSv1.3,AU,Sydney,31898,Oracle,40,11,2,9,14,4
1768169830.926,724f186,80.96.157.34,US,DFW,cloudflare.com,https,http/2,TLSv1.3,US,Dallas,9009,M247,52,9,2,23,17,1
1768169831.385,415f175,185.121.26.19,US,ORD,cloudflare.com,https,http/2,TLSv1.3,US,Chicago,152586,Kuroit,43,23,1,6,12,1
1768169831.796,20f736,85.121.54.225,NL,AMS,cloudflare.com,https,http/2,TLSv1.3,NL,Rotterdam,9009,M247,25,10,2,6,7,0
