timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1766772930.272,931f12,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,27,null,null,null,17,1
1766772930.863,636f17,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,35,null,null,null,10,0
1766772932.031,636f252,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,38,null,null,null,10,1
1766772932.544,637f107,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,39,null,null,null,11,1
1766772933.115,471f274,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,39,null,null,null,11,1
1766772933.695,636f189,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,50,null,null,null,17,1
1766772934.653,637f201,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,43,null,null,null,13,1
1766772934.824,636f3,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,39,null,null,null,10,1
1766772935.419,470f72,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,61,null,null,null,32,1
1766772936.005,929f31,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,39,null,null,null,10,1
1766772936.577,71f803,142.132.183.164,DE,FRA,cloudflare.com,https,http/2,TLSv1.3,DE,Falkenstein,24940,Hetzner Online,41,null,null,null,12,1
