timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1766827320.527,537f207,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,50,null,null,null,10,1
1766827321.152,532f151,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,36,null,null,null,9,1
1766827322.163,1036f48,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,33,null,null,null,9,1
1766827322.298,986f77,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,32,null,null,null,8,1
1766827322.886,534f157,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,38,null,null,null,9,1
1766827323.467,533f99,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,37,null,null,null,11,1
1766827324.045,987f4,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,35,null,null,null,10,1
1766827325.15,533f186,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,36,null,null,null,9,1
1766827325.719,987f37,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,32,null,null,null,8,0
1766827326.296,532f166,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,36,null,null,null,9,1
1766827327.43,987f10,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,38,null,null,null,8,1
1766827327.953,538f38,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,31,null,null,null,9,0
1766827328.672,533f91,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,32,null,null,null,8,0
1766827329.258,1036f5,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,36,null,null,null,9,1
1766827329.986,1038f68,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,32,null,null,null,8,1
1766827330.555,1038f36,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,36,null,null,null,10,1
1766827331.121,987f81,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,33,null,null,null,8,1
1766827331.687,727f183,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,34,null,null,null,9,0
1766827332.562,1036f49,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,32,null,null,null,9,0
1766827332.912,987f65,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,33,null,null,null,8,1
1766827333.47,1038f35,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,34,null,null,null,8,1
1766827334.032,533f109,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,35,null,null,null,9,1
1766827335.143,1036f14,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,33,null,null,null,8,1
1766827335.689,534f166,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,33,null,null,null,9,1
1766827336.255,987f60,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,35,null,null,null,11,1
1766827336.827,537f160,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,34,null,null,null,9,1
1766827337.71,533f181,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,41,null,null,null,14,0
1766827337.956,533f170,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,33,null,null,null,9,1
1766827338.539,727f63,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,38,null,null,null,11,1
1766827339.095,537f135,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,33,null,null,null,9,0
1766827340.343,534f173,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,34,null,null,null,9,0
1766827340.916,534f177,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,34,null,null,null,11,0
1766827341.612,533f269,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,33,null,null,null,9,0
1766827342.181,986f32,51.38.43.71,FR,CDG,cloudflare.com,https,http/2,TLSv1.3,FR,Roubaix,16276,OVH,37,null,null,null,13,1
