timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1766947202.575,950f74,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,179,null,null,null,94,1
1766947203.549,950f28,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,302,null,null,null,77,1
1766947204.161,951f2,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,331,null,null,null,96,1
1766947205.232,1131f20,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,310,null,null,null,80,1
1766947205.818,1131f84,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,316,null,null,null,80,0
1766947206.394,951f11,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,333,null,null,null,92,1
1766947207.205,1131f93,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,316,null,null,null,80,1
1766947208.022,950f115,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,310,null,null,null,81,0
1766947208.61,951f102,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,317,null,null,null,81,1
1766947209.172,1131f38,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,320,null,null,null,81,0
1766947210.315,950f16,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,323,null,null,null,83,0
1766947210.884,1131f109,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,324,null,null,null,90,0
1766947211.83,950f12,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,322,null,null,null,86,0
1766947212.911,951f62,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,323,null,null,null,82,1
1766947213.493,1131f62,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,323,null,null,null,83,0
1766947214.062,951f31,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,317,null,null,null,80,0
1766947214.622,950f35,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,317,null,null,null,82,0
1766947215.709,951f87,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,322,null,null,null,82,1
1766947216.268,950f113,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,316,null,null,null,80,1
1766947216.819,1131f19,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,299,null,null,null,76,1
1766947217.916,950f89,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,317,null,null,null,82,1
1766947218.5,950f97,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,328,null,null,null,85,1
1766947219.07,951f61,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,331,null,null,null,86,1
1766947219.625,950f99,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,329,null,null,null,85,1
1766947220.709,950f15,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,332,null,null,null,85,0
1766947221.294,1131f23,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,323,null,null,null,83,0
1766947221.858,49f217,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,319,null,null,null,84,1
1766947222.949,1131f24,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,321,null,null,null,81,1
1766947223.519,49f433,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,325,null,null,null,84,1
1766947224.084,950f46,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,325,null,null,null,86,1
1766947224.63,1131f53,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,307,null,null,null,80,1
1766947226.255,951f17,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,317,null,null,null,80,1
1766947227.492,950f114,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,318,null,null,null,81,1
1766947228.529,1131f88,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,318,null,null,null,82,1
1766947229.123,951f35,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,349,null,null,null,109,1
1766947229.647,950f41,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,310,null,null,null,78,1
1766947230.841,49f374,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,324,null,null,null,83,1
1766947231.464,1131f1,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,319,null,null,null,82,1
1766947232.019,1131f28,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,303,null,null,null,78,1
1766947232.601,1131f89,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,321,null,null,null,84,1
1766947233.681,49f263,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,319,null,null,null,81,1
1766947234.252,951f52,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,326,null,null,null,84,1
1766947234.821,49f324,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,337,null,null,null,96,1
1766947235.381,951f24,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,322,null,null,null,84,0
1766947236.464,950f100,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,328,null,null,null,86,1
1766947237.022,951f46,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,317,null,null,null,88,1
1766947237.586,950f86,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,324,null,null,null,84,0
1766947238.707,1131f71,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,324,null,null,null,83,1
1766947239.244,1131f94,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,329,null,null,null,84,1
1766947239.814,950f16,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,323,null,null,null,82,1
1766947240.333,1131f100,157.175.43.122,BH,MRS,cloudflare.com,https,http/2,TLSv1.3,BH,Al Muharraq,16509,Amazon.com,286,null,null,null,74,0
