timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1766968812.192,729f90,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,134,null,null,null,62,4
1766968813.302,1058f56,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,274,null,null,null,54,2
1766968814.88,728f13,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,246,null,null,null,63,2
1766968815.958,598f144,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,244,null,null,null,52,2
1766968817.218,728f48,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,260,null,null,null,59,2
1766968818.423,1002f11,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,254,null,null,null,53,3
1766968819.992,597f140,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,232,null,null,null,52,2
1766968821.074,97f628,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,238,null,null,null,54,2
1766968822.561,728f206,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,278,null,null,null,65,2
1766968823.607,1002f32,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,245,null,null,null,61,2
1766968825.194,1058f103,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,231,null,null,null,51,2
1766968826.332,1233f18,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,277,null,null,null,68,2
1766968827.917,597f126,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,272,null,null,null,68,4
1766968828.974,728f127,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,253,null,null,null,53,3
1766968830.556,97f707,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,231,null,null,null,54,2
1766968831.707,1058f2,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,232,null,null,null,52,2
1766968833.646,729f29,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,248,null,null,null,74,1
1766968835.325,728f207,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,463,null,null,null,171,2
1766968836.343,97f518,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,247,null,null,null,55,2
1766968837.72,597f187,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,243,null,null,null,51,2
1766968838.915,97f586,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,228,null,null,null,54,2
1766968840.846,729f119,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,263,null,null,null,59,2
1766968841.7,1233f30,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,233,null,null,null,53,2
1766968843.372,1233f78,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,229,null,null,null,52,2
1766968844.463,598f164,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,255,null,null,null,63,2
1766968845.999,597f16,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,250,null,null,null,53,3
1766968847.171,598f108,131.0.196.232,BO,GRU,cloudflare.com,https,http/2,TLSv1.3,BO,La Paz,27882,Telefonica Celular de Bolivia,289,null,null,null,64,4
