timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767033635.145,31f184,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,158,null,null,null,19,59
1767033635.817,1021f74,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,58,null,null,null,16,6
1767033636.364,31f66,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,48,null,null,null,12,1
1767033636.91,1021f27,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,31,null,null,null,12,1
1767033637.487,1021f34,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,36,null,null,null,7,5
1767033638.31,31f94,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,83,null,null,null,11,4
1767033638.771,1021f61,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,23,null,null,null,6,1
1767033639.363,31f162,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,56,null,null,null,19,2
1767033639.955,31f156,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,87,null,null,null,19,8
1767033640.994,31f94,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,127,null,null,null,16,8
1767033641.879,1021f66,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,45,null,null,null,15,1
1767033642.417,31f165,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,34,null,null,null,8,0
1767033643.633,1021f18,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,30,null,null,null,8,1
1767033644.096,1021f31,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,43,null,null,null,11,1
1767033644.699,1021f77,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,36,null,null,null,13,0
1767033645.251,31f170,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,27,null,null,null,10,0
1767033646.302,31f104,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,45,null,null,null,16,1
1767033646.903,1021f59,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,25,null,null,null,7,0
1767033647.484,1021f49,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,28,null,null,null,7,1
1767033648.048,1021f4,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,34,null,null,null,16,0
1767033648.926,31f155,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,24,null,null,null,7,1
1767033649.173,31f109,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,26,null,null,null,12,1
1767033649.758,1021f37,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,24,null,null,null,8,0
1767033650.341,1021f19,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,29,null,null,null,12,1
1767033650.916,31f156,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,45,null,null,null,5,6
1767033652.29,1021f39,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,48,null,null,null,28,1
1767033652.865,1021f26,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,40,null,null,null,14,2
1767033653.419,31f157,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,29,null,null,null,11,1
1767033654.495,31f187,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,40,null,null,null,6,8
1767033655.105,1021f20,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,42,null,null,null,23,1
1767033655.693,31f118,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,47,null,null,null,10,1
1767033656.257,31f157,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,57,null,null,null,5,8
1767033657.476,1021f23,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,53,null,null,null,11,1
1767033658.205,31f163,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,41,null,null,null,11,2
1767033658.763,31f74,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,33,null,null,null,14,0
1767033660.067,1021f46,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,28,null,null,null,7,0
1767033660.621,31f67,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,28,null,null,null,13,0
1767033661.185,1021f36,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,22,null,null,null,4,1
1767033661.759,1021f30,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,36,null,null,null,16,0
1767033663.163,31f76,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,33,null,null,null,8,1
1767033663.749,1021f37,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,32,null,null,null,8,0
1767033664.3,1021f44,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,25,null,null,null,8,1
1767033665.557,31f162,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,29,null,null,null,9,0
1767033665.972,1021f30,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,40,null,null,null,4,0
1767033666.778,31f163,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,27,null,null,null,8,0
1767033668.36,31f114,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,23,null,null,null,6,0
1767033668.704,1021f40,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,47,null,null,null,16,0
1767033669.246,1021f50,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,19,null,null,null,7,0
1767033669.814,31f66,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,21,null,null,null,7,0
1767033671.066,1021f67,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,41,null,null,null,12,0
1767033671.599,31f186,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,38,null,null,null,12,1
1767033672.181,1021f58,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,30,null,null,null,9,2
1767033672.739,31f171,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,36,null,null,null,8,0
1767033673.629,1021f27,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,24,null,null,null,3,1
1767033673.908,31f191,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,45,null,null,null,13,2
1767033674.459,31f167,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,27,null,null,null,10,0
1767033675.03,1021f22,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,31,null,null,null,7,1
1767033675.611,31f174,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,42,null,null,null,4,1
1767033676.519,31f175,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,27,null,null,null,8,0
1767033677.086,1021f14,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,23,null,null,null,6,0
1767033677.651,1021f46,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,26,null,null,null,7,0
1767033678.24,1021f73,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,53,null,null,null,13,7
1767033679.056,1021f38,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,23,null,null,null,8,0
1767033679.528,31f166,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,33,null,null,null,16,0
1767033680.083,31f165,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,25,null,null,null,8,0
1767033680.665,1021f65,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,32,null,null,null,9,0
1767033681.673,1021f37,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,46,null,null,null,8,1
1767033681.825,1021f46,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,24,null,null,null,8,0
1767033682.399,1021f23,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,27,null,null,null,8,0
1767033683.039,1021f59,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,88,null,null,null,72,1
1767033683.539,1021f37,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,30,null,null,null,8,1
1767033684.228,1021f22,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,25,null,null,null,5,1
1767033684.678,1021f7,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,29,null,null,null,8,1
1767033685.247,31f185,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,29,null,null,null,8,1
1767033685.814,31f170,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,33,null,null,null,7,1
1767033686.964,1021f45,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,29,null,null,null,14,0
1767033687.464,31f94,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,36,null,null,null,16,0
1767033688.033,1021f60,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,21,null,null,null,7,0
1767033688.636,1021f23,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,18,null,null,null,4,1
1767033690.048,1021f30,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,30,null,null,null,7,0
1767033690.518,31f167,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,25,null,null,null,9,0
1767033692.394,1021f66,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,25,null,null,null,6,0
1767033693.06,1021f21,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,50,null,null,null,4,1
1767033693.702,1021f70,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,130,null,null,null,8,0
1767033694.17,1021f59,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,28,null,null,null,7,5
1767033694.338,1021f6,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,47,null,null,null,16,0
1767033695.424,1021f20,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,39,null,null,null,6,0
1767033695.85,1021f49,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,35,null,null,null,22,0
1767033696.421,31f174,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,44,null,null,null,3,5
1767033697.831,31f149,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,30,null,null,null,6,1
1767033698.635,31f172,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,16,null,null,null,5,0
1767033699.212,31f184,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,28,null,null,null,7,1
1767033700.532,1021f73,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,25,null,null,null,5,1
1767033701.015,1021f29,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,24,null,null,null,7,1
1767033701.6,1021f33,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,40,null,null,null,11,1
1767033701.672,1021f26,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,23,null,null,null,9,0
1767033702.35,31f117,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,33,null,null,null,8,1
1767033703.328,1021f22,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,171,null,null,null,7,1
1767033703.451,1021f21,89.203.249.38,CZ,PRG,cloudflare.com,https,http/2,TLSv1.3,CZ,Uherske Hradiste,25512,CD-Telematika,22,null,null,null,6,1
