timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767055242.792,49f236,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,76,null,null,null,37,2
1767055243.924,951f91,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,404,null,null,null,38,1
1767055244.483,951f105,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,399,null,null,null,37,1
1767055245.588,950f46,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,409,null,null,null,38,1
1767055246.335,951f85,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,408,null,null,null,38,0
1767055247.848,1131f43,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,400,null,null,null,37,1
1767055248.534,1131f114,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,408,null,null,null,37,1
1767055249.456,950f17,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,405,null,null,null,37,1
1767055250.54,950f104,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,406,null,null,null,36,1
1767055251.123,951f13,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,408,null,null,null,37,0
1767055252.194,950f6,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,399,null,null,null,37,1
1767055253.319,950f16,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,404,null,null,null,38,0
1767055254.399,950f88,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,406,null,null,null,36,1
1767055255.483,1131f66,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,404,null,null,null,37,1
1767055256.054,950f29,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,408,null,null,null,42,1
1767055257.834,951f83,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,403,null,null,null,37,1
1767055258.701,49f262,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,407,null,null,null,37,1
1767055260.319,950f44,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,403,null,null,null,37,1
1767055260.993,950f23,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,402,null,null,null,36,0
1767055261.552,49f416,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,400,null,null,null,36,1
1767055262.116,49f387,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,406,null,null,null,38,0
1767055263.187,951f84,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,397,null,null,null,36,1
1767055263.753,950f5,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,403,null,null,null,36,1
1767055264.32,1131f82,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,396,null,null,null,37,1
1767055264.905,950f6,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,401,null,null,null,36,1
1767055266.01,951f29,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,419,null,null,null,51,1
1767055267.129,49f256,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,405,null,null,null,38,1
1767055268.252,951f108,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,403,null,null,null,38,0
1767055268.818,950f12,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,403,null,null,null,36,1
1767055269.379,1131f48,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,403,null,null,null,37,0
1767055269.958,49f221,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,404,null,null,null,39,1
1767055271.176,950f8,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,403,null,null,null,37,1
1767055271.738,950f25,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,405,null,null,null,37,1
1767055272.345,950f6,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,402,null,null,null,36,1
1767055273.433,951f59,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,410,null,null,null,38,1
1767055274.524,950f108,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,412,null,null,null,41,0
1767055275.701,950f99,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,405,null,null,null,38,1
1767055276.649,950f5,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,403,null,null,null,36,1
1767055278.201,1131f56,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,402,null,null,null,36,1
1767055278.886,951f24,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,404,null,null,null,39,0
1767055279.455,1131f59,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,406,null,null,null,40,1
1767055280.017,951f120,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,402,null,null,null,38,5
1767055281.352,1131f10,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,398,null,null,null,37,1
1767055281.921,950f54,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,402,null,null,null,37,0
1767055282.476,1131f97,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,397,null,null,null,37,1
1767055284.03,950f53,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,397,null,null,null,37,0
1767055284.597,951f9,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,403,null,null,null,38,0
1767055285.165,951f20,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,405,null,null,null,39,1
1767055286.195,951f108,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,402,null,null,null,36,1
1767055286.758,951f12,38.60.226.85,EG,MRS,cloudflare.com,https,http/2,TLSv1.3,EG,Cairo,138915,Kaopu Cloud,399,null,null,null,37,1
