timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767098457.931,581f140,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,14,null,null,null,8,2
1767098458.605,976f37,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,14,null,null,null,4,1
1767098459.207,582f222,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,15,null,null,null,4,1
1767098460.402,1176f113,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,16,null,null,null,5,1
1767098460.876,1176f31,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,19,null,null,null,8,1
1767098461.444,583f91,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,18,null,null,null,6,1
1767098462.019,582f236,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,19,null,null,null,5,1
1767098464.435,1176f39,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,15,null,null,null,4,1
1767098465.464,23f834,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,16,null,null,null,4,1
1767098466.098,975f54,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,16,null,null,null,4,1
1767098466.685,976f57,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,15,null,null,null,5,0
1767098467.26,582f234,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,29,null,null,null,18,1
1767098468.362,582f143,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,32,null,null,null,19,1
1767098468.921,582f230,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,22,null,null,null,11,0
1767098469.485,582f230,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,16,null,null,null,5,1
1767098470.453,581f207,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,15,null,null,null,4,1
1767098471.152,581f173,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,17,null,null,null,5,1
1767098472.33,582f220,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,36,null,null,null,24,1
1767098473.417,583f11,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,16,null,null,null,5,1
1767098473.987,23f784,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,17,null,null,null,5,1
1767098474.547,581f201,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,15,null,null,null,4,1
1767098475.483,581f44,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,17,null,null,null,8,0
1767098476.213,975f62,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,17,null,null,null,8,0
1767098476.774,1176f44,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,15,null,null,null,4,0
1767098478.263,1176f57,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,14,null,null,null,3,1
1767098479.098,1176f7,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,14,null,null,null,5,0
1767098479.669,1176f117,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,14,null,null,null,4,1
1767098480.631,583f145,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,14,null,null,null,4,1
1767098481.329,581f50,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,16,null,null,null,5,1
1767098481.903,582f198,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,23,null,null,null,12,1
1767098482.471,583f13,83.147.60.193,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,HK,Hong Kong,202662,Hytron Network Services,17,null,null,null,6,1
