timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767141675.527,989f85,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),47,null,null,null,22,2
1767141676.602,985f52,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,21,1
1767141677.172,793f152,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,21,1
1767141679.044,736f41,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,21,1
1767141679.54,736f129,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),101,null,null,null,37,2
1767141680.092,985f52,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,20,1
1767141680.633,377f584,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,22,1
1767141681.533,21f1079,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),80,null,null,null,20,1
1767141681.772,736f26,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),86,null,null,null,23,1
1767141682.326,793f126,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),80,null,null,null,21,1
1767141682.901,991f76,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,21,1
1767141683.499,1053f96,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,21,1
1767141684.581,989f15,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,21,1
1767141685.142,376f30,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,1
1767141685.719,985f12,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),90,null,null,null,21,1
1767141686.612,989f103,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,20,1
1767141686.902,376f464,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,20,1
1767141687.471,736f166,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),84,null,null,null,21,1
1767141688.031,376f436,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,20,1
1767141689.192,984f48,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),85,null,null,null,21,1
1767141689.699,985f22,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,20,1
1767141690.687,991f96,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,1
1767141691.933,989f57,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,20,1
1767141692.223,985f46,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),88,null,null,null,25,1
1767141692.79,984f58,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,21,1
1767141694.213,736f259,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),91,null,null,null,29,1
1767141694.988,991f22,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,20,1
1767141695.547,21f996,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),79,null,null,null,19,1
1767141696.129,793f223,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,22,1
1767141696.942,793f20,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),100,null,null,null,21,1
1767141697.262,377f451,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),84,null,null,null,21,1
1767141698.391,793f186,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,21,1
1767141699.601,991f61,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),80,null,null,null,20,1
1767141700.134,793f31,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,21,0
1767141700.709,991f45,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),93,null,null,null,33,1
1767141701.26,1053f25,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),84,null,null,null,20,3
1767141702.141,793f275,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,21,1
1767141702.404,736f274,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,23,1
1767141703.039,1053f17,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,20,1
1767141703.543,1053f10,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),80,null,null,null,20,1
1767141704.551,985f81,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,22,1
1767141705.373,376f440,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),84,null,null,null,23,1
1767141705.931,990f92,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,1
1767141706.51,989f67,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),92,null,null,null,31,1
1767141707.344,376f119,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),97,null,null,null,25,2
1767141707.643,736f142,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,22,1
1767141708.206,1053f46,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,19,3
1767141708.777,991f102,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,1
1767141709.868,1053f12,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),80,null,null,null,20,1
1767141710.424,985f44,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),80,null,null,null,20,0
1767141711.003,1053f27,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),84,null,null,null,21,1
1767141711.562,377f480,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,21,1
1767141712.528,990f102,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,1
1767141713.773,989f72,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,0
1767141714.34,1053f101,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,1
1767141715.125,985f37,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),79,null,null,null,21,0
1767141715.473,376f421,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,21,2
1767141716.085,793f54,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,21,1
1767141716.647,1053f56,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,1
1767141717.679,990f53,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,0
1767141718.295,21f1043,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),78,null,null,null,19,0
1767141718.881,793f185,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),80,null,null,null,20,1
1767141719.45,989f89,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,19,1
1767141720.277,793f206,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,21,1
1767141720.886,793f278,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),91,null,null,null,27,1
1767141721.451,377f54,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),87,null,null,null,24,1
1767141722.015,984f26,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,20,1
1767141722.859,21f995,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,21,1
1767141723.927,1053f69,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),80,null,null,null,20,0
1767141724.505,21f1072,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),78,null,null,null,20,1
1767141725.404,984f79,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),86,null,null,null,26,1
1767141725.674,376f384,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,1
1767141726.237,989f26,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,1
1767141726.809,21f1054,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,20,1
1767141727.978,984f77,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),105,null,null,null,42,1
1767141729.099,377f447,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,21,1
1767141729.404,736f146,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,23,1
1767141730.536,990f109,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,20,1
1767141731.07,990f89,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),79,null,null,null,19,1
1767141731.635,984f50,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),80,null,null,null,20,1
1767141733.103,21f1024,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),84,null,null,null,22,0
1767141733.684,377f507,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,23,1
1767141734.321,984f25,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),83,null,null,null,23,1
1767141734.885,376f115,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,20,1
1767141735.65,1053f11,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),81,null,null,null,21,1
1767141736.011,984f12,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),82,null,null,null,20,1
1767141736.575,736f24,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),84,null,null,null,22,1
1767141737.139,377f334,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),84,null,null,null,23,1
1767141738.161,21f954,217.23.167.228,IM,LHR,cloudflare.com,https,http/2,TLSv1.3,IM,Douglas,15766,Domicilium (IOM),87,null,null,null,25,1
