timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767163285.408,670f247,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,26,null,null,null,14,2
1767163285.996,677f241,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,38,null,null,null,14,1
1767163286.867,670f158,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,19,null,null,null,5,1
1767163287.822,670f3,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,26,null,null,null,11,1
1767163288.638,670f240,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,24,null,null,null,9,1
1767163289.202,670f184,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,24,null,null,null,9,1
1767163289.764,677f131,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,19,null,null,null,6,1
1767163290.853,677f19,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,21,null,null,null,6,1
1767163291.424,578f108,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,26,null,null,null,6,1
1767163292.14,679f227,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,20,null,null,null,5,1
1767163293.272,578f144,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,22,null,null,null,7,1
1767163293.827,578f182,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,19,null,null,null,5,1
1767163294.383,670f108,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,21,null,null,null,6,1
1767163294.97,453f12,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,48,null,null,null,28,2
1767163296.043,679f201,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,19,null,null,null,4,1
1767163296.609,677f165,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,28,null,null,null,12,1
1767163297.166,670f48,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,24,null,null,null,8,1
1767163298.344,679f178,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,20,null,null,null,7,0
1767163298.813,670f253,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,21,null,null,null,5,1
1767163299.379,677f189,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,21,null,null,null,4,1
1767163300.061,670f254,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,17,null,null,null,5,0
1767163301.157,578f107,161.118.178.33,IN,BOM,cloudflare.com,https,http/2,TLSv1.3,IN,Mumbai,31898,Oracle,23,null,null,null,10,0
