timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767184896.255,448f552,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,14,null,null,null,7,1
1767184897.496,966f66,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,30,null,null,null,5,1
1767184898.891,448f114,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,33,null,null,null,12,2
1767184899.917,1173f3,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,22,null,null,null,4,1
1767184900.796,448f111,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,24,null,null,null,6,1
1767184902.373,763f58,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,28,null,null,null,6,1
1767184903.5,763f8,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,28,null,null,null,5,1
1767184904.789,1008f3,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,30,null,null,null,7,1
1767184905.718,408f160,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,44,null,null,null,6,1
1767184906.782,763f60,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,22,null,null,null,8,0
1767184908.534,1173f20,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,19,null,null,null,6,0
1767184909.622,1008f33,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,20,null,null,null,5,1
1767184911.142,1173f40,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,19,null,null,null,6,0
1767184912.218,1173f32,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,32,null,null,null,17,1
1767184913.949,763f97,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,21,null,null,null,5,1
1767184915.536,763f59,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,18,null,null,null,6,0
1767184916.638,762f150,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,26,null,null,null,7,1
1767184918.136,1009f33,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,19,null,null,null,6,0
1767184919.083,1008f19,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,19,null,null,null,4,1
1767184920.736,1173f31,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,23,null,null,null,5,1
1767184921.788,408f193,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,25,null,null,null,6,1
1767184922.566,763f5,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,22,null,null,null,3,1
1767184924.174,408f140,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,20,null,null,null,6,0
1767184926.351,1008f89,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,19,null,null,null,5,0
1767184927.446,966f30,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,21,null,null,null,7,0
1767184928.78,1174f51,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,21,null,null,null,6,1
1767184929.609,1008f30,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,18,null,null,null,4,1
1767184930.782,1008f34,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,19,null,null,null,4,1
1767184932.389,1009f69,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,22,null,null,null,6,1
1767184933.47,1174f28,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,18,null,null,null,4,1
1767184934.563,1008f5,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,16,null,null,null,4,0
1767184935.649,763f46,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,20,null,null,null,5,0
1767184937.11,22f392,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,23,null,null,null,9,1
1767184938.469,382f318,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,17,null,null,null,3,1
1767184939.682,1008f41,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,22,null,null,null,9,1
1767184940.679,966f38,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,26,null,null,null,5,1
1767184942.389,1174f12,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,18,null,null,null,4,1
1767184943.484,448f605,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,20,null,null,null,6,0
1767184944.714,1173f8,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,18,null,null,null,5,0
1767184945.806,763f13,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,19,null,null,null,5,0
1767184947.244,1009f99,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,18,null,null,null,5,1
1767184947.969,762f113,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,21,null,null,null,5,1
1767184949.052,762f139,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,22,null,null,null,7,0
1767184950.157,1009f65,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,26,null,null,null,13,0
1767184951.764,966f42,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,24,null,null,null,11,1
1767184952.844,1008f73,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,20,null,null,null,5,1
1767184953.928,763f113,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,19,null,null,null,5,0
1767184955.259,408f196,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,27,null,null,null,9,1
1767184956.161,448f644,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,20,null,null,null,5,1
1767184957.589,408f189,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,30,null,null,null,13,1
1767184958.293,762f101,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,19,null,null,null,5,1
1767184959.403,763f47,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,19,null,null,null,4,1
1767184961.039,448f124,141.98.196.162,JP,NRT,cloudflare.com,https,http/2,TLSv1.3,JP,Tokyo,3258,xTom,26,null,null,null,12,0
