timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767228112.2,150f18,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,22,null,null,null,7,3
1767228114.045,150f17,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,31,null,null,null,6,1
1767228114.299,150f17,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,29,null,null,null,6,1
1767228115.444,150f15,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,33,null,null,null,8,1
1767228116.28,150f15,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,32,null,null,null,7,2
1767228116.857,150f13,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,32,null,null,null,8,1
1767228117.217,150f13,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,37,null,null,null,12,1
1767228118.154,150f15,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,23,null,null,null,5,1
1767228118.709,150f14,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,28,null,null,null,8,1
1767228119.277,150f17,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,29,null,null,null,5,1
1767228119.843,150f15,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,28,null,null,null,5,1
1767228120.936,150f15,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,36,null,null,null,6,2
1767228122.193,150f14,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,29,null,null,null,5,2
1767228124.117,150f16,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,32,null,null,null,6,1
1767228124.494,150f16,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,28,null,null,null,5,1
1767228125.034,150f17,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,29,null,null,null,6,1
1767228126.118,150f16,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,29,null,null,null,5,2
1767228126.706,150f17,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,32,null,null,null,6,1
1767228127.266,150f16,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,22,null,null,null,5,1
1767228127.551,150f13,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,31,null,null,null,5,1
1767228128.427,150f17,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,30,null,null,null,5,1
1767228128.674,150f15,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,28,null,null,null,5,1
1767228129.26,150f15,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,30,null,null,null,7,1
1767228129.82,150f13,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,30,null,null,null,5,1
1767228130.919,150f12,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,31,null,null,null,6,1
1767228132.141,150f18,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,29,null,null,null,5,1
1767228132.56,150f17,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,30,null,null,null,6,1
1767228134.069,150f12,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,29,null,null,null,5,1
1767228134.745,150f17,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,41,null,null,null,7,5
1767228135.313,150f16,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,34,null,null,null,5,2
1767228136.504,150f13,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,30,null,null,null,6,1
1767228137.071,150f12,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,29,null,null,null,6,1
1767228137.636,150f15,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,32,null,null,null,6,1
1767228139.476,150f18,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,1038,null,null,null,5,2
1767228139.826,150f14,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,29,null,null,null,5,1
1767228140.388,150f17,194.246.91.160,LB,BEY,cloudflare.com,https,http/2,TLSv1.3,LB,Sidon,39402,Ferrari-Networks,31,null,null,null,6,1
