timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767292929.093,583f251,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,31,null,null,null,18,4
1767292930.671,1176f99,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,25,null,null,null,4,2
1767292931.787,583f225,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,32,null,null,null,4,8
1767292933.067,976f28,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,25,null,null,null,4,1
1767292934.215,976f79,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,23,null,null,null,4,1
1767292935.623,582f135,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,31,null,null,null,6,1
1767292936.433,23f622,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,23,null,null,null,5,1
1767292937.901,581f121,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,22,null,null,null,4,1
1767292938.634,23f810,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,26,null,null,null,5,1
1767292939.826,976f65,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,21,null,null,null,4,1
1767292940.928,976f110,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,28,null,null,null,5,1
1767292942.106,23f509,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,23,null,null,null,5,1
1767292943.428,581f259,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,24,null,null,null,5,1
1767292944.44,1176f99,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,22,null,null,null,4,1
1767292945.708,1176f51,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,21,null,null,null,4,1
1767292946.799,583f146,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,35,null,null,null,5,2
1767292948.082,1176f83,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,20,null,null,null,5,1
1767292949.055,583f49,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,97,null,null,null,5,5
1767292950.083,976f65,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,23,null,null,null,3,1
1767292951.197,23f813,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,25,null,null,null,4,2
1767292952.297,581f67,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,27,null,null,null,5,2
1767292953.719,581f140,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,35,null,null,null,6,2
1767292954.485,1176f26,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,26,null,null,null,4,1
1767292955.966,23f621,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,22,null,null,null,5,1
1767292956.684,581f67,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,21,null,null,null,5,1
1767292957.786,975f30,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,27,null,null,null,5,2
1767292958.871,976f69,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,20,null,null,null,4,1
1767292959.978,23f902,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,19,null,null,null,4,1
1767292961.087,582f135,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,24,null,null,null,4,1
1767292962.59,582f177,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,37,null,null,null,4,5
1767292964.108,975f87,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,36,null,null,null,10,5
1767292965.213,23f860,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,40,null,null,null,5,3
1767292966.747,582f110,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,32,null,null,null,6,1
1767292967.839,583f191,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,20,null,null,null,4,1
1767292969.278,23f836,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,30,null,null,null,6,2
1767292970.348,1176f51,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,25,null,null,null,4,3
1767292971.912,975f82,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,30,null,null,null,4,1
1767292973.02,975f10,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,32,null,null,null,5,2
1767292973.885,1176f78,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,29,null,null,null,4,2
1767292974.801,1176f9,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,27,null,null,null,4,2
1767292975.918,581f182,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,33,null,null,null,5,2
1767292977.533,583f128,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,30,null,null,null,6,1
1767292978.629,23f884,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,28,null,null,null,5,1
1767292979.717,1176f102,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,28,null,null,null,4,2
1767292980.823,581f62,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,23,null,null,null,5,1
1767292982.235,976f94,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,20,null,null,null,5,1
1767292983.025,1176f30,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,32,null,null,null,7,2
1767292984.566,975f64,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,29,null,null,null,4,1
1767292985.247,583f13,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,34,null,null,null,6,2
1767292986.432,1176f49,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,33,null,null,null,5,2
1767292987.467,1176f80,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,63,null,null,null,7,5
1767292988.833,581f230,23.148.24.117,HK,HKG,cloudflare.com,https,http/2,TLSv1.3,MO,Macau,152918,Liberally Network,29,null,null,null,7,1
