timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767509002.722,127f84,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,118,null,null,null,19,28
1767509004.172,127f93,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,80,null,null,null,7,2
1767509004.688,127f72,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,31,null,null,null,6,1
1767509005.257,127f129,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,31,null,null,null,8,1
1767509006.304,127f75,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,33,null,null,null,7,2
1767509006.786,127f122,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,35,null,null,null,7,2
1767509007.352,127f108,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,32,null,null,null,6,1
1767509007.975,127f103,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,91,null,null,null,7,2
1767509009.457,127f55,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,50,null,null,null,17,3
1767509010.016,127f96,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,33,null,null,null,7,1
1767509010.654,127f124,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,109,null,null,null,10,1
1767509011.666,127f114,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,36,null,null,null,8,2
1767509012.233,127f97,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,39,null,null,null,9,4
1767509012.881,127f123,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,114,null,null,null,12,3
1767509014.02,127f69,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,34,null,null,null,5,2
1767509014.831,127f100,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,33,null,null,null,8,1
1767509015.403,127f69,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,33,null,null,null,7,1
1767509016.454,127f62,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,116,null,null,null,7,1
1767509017.671,127f90,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,35,null,null,null,7,2
1767509018.227,127f76,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,32,null,null,null,7,2
1767509019.495,127f121,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,31,null,null,null,6,2
1767509020.063,127f77,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,37,null,null,null,7,2
1767509020.671,127f101,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,80,null,null,null,7,2
1767509021.783,127f61,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,99,null,null,null,56,8
1767509022.355,127f112,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,35,null,null,null,11,1
1767509023.282,127f109,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,96,null,null,null,58,8
1767509024.355,127f128,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,32,null,null,null,5,2
1767509024.918,127f110,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,35,null,null,null,7,1
1767509025.947,127f115,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,502,null,null,null,10,1
1767509027.092,127f65,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,44,null,null,null,19,1
1767509027.642,127f102,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,33,null,null,null,6,2
1767509028.208,127f122,184.82.66.136,TH,BKK,cloudflare.com,https,http/2,TLSv1.3,TH,Bangkok,133481,AIS Fibre,30,null,null,null,5,2
