timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767544825.03,128f271,194.26.27.12,LV,ARN,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,61,null,null,null,27,4
1767544825.572,923f97,194.26.27.12,LV,WAW,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,105,null,null,null,17,2
1767544826.13,1056f88,194.26.27.12,LV,WAW,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,82,null,null,null,17,2
1767544827.313,1031f100,194.26.27.12,LV,ARN,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,65,null,null,null,15,2
1767544827.946,1056f4,194.26.27.12,LV,WAW,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,121,null,null,null,18,3
1767544828.477,128f241,194.26.27.12,LV,ARN,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,74,null,null,null,15,3
1767544829.036,1055f109,194.26.27.12,LV,WAW,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,70,null,null,null,17,2
1767544829.918,1030f66,194.26.27.12,LV,ARN,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,78,null,null,null,13,3
1767544830.203,1030f61,194.26.27.12,LV,ARN,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,75,null,null,null,14,2
1767544830.8,923f94,194.26.27.12,LV,WAW,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,74,null,null,null,16,3
1767544831.378,1031f16,194.26.27.12,LV,ARN,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,76,null,null,null,21,2
1767544832.656,128f384,194.26.27.12,LV,ARN,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,68,null,null,null,13,3
1767544833.23,923f93,194.26.27.12,LV,WAW,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,75,null,null,null,16,2
1767544833.812,1055f97,194.26.27.12,LV,WAW,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,67,null,null,null,15,3
1767544834.396,1055f25,194.26.27.12,LV,WAW,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,81,null,null,null,17,2
1767544835.471,1030f37,194.26.27.12,LV,ARN,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,73,null,null,null,18,4
1767544836.113,1031f110,194.26.27.12,LV,ARN,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,56,null,null,null,12,2
1767544836.724,923f62,194.26.27.12,LV,WAW,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,97,null,null,null,19,6
1767544836.931,1030f38,194.26.27.12,LV,ARN,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,75,null,null,null,17,4
1767544838.027,1056f27,194.26.27.12,LV,WAW,cloudflare.com,https,http/2,TLSv1.3,LV,Riga,39900,GOOD,71,null,null,null,15,3
