timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767566432.342,977f91,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,58,null,null,null,28,1
1767566433.438,39f229,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,135,null,null,null,34,1
1767566434.006,977f9,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,138,null,null,null,38,1
1767566435.115,978f26,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,164,null,null,null,44,0
1767566435.64,270f54,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,111,null,null,null,28,1
1767566436.219,525f240,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,125,null,null,null,34,0
1767566437.475,978f24,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,143,null,null,null,40,0
1767566438.552,977f13,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,158,null,null,null,41,1
1767566439.106,978f38,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,150,null,null,null,41,0
1767566440.049,978f30,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,176,null,null,null,34,1
1767566440.997,39f199,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,138,null,null,null,37,1
1767566441.587,977f82,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,160,null,null,null,42,1
1767566442.494,525f108,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,122,null,null,null,31,1
1767566443.233,270f157,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,158,null,null,null,41,1
1767566443.806,39f172,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,157,null,null,null,41,0
1767566444.369,39f201,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,204,null,null,null,87,1
1767566445.405,979f61,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,111,null,null,null,27,1
1767566445.992,525f143,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,134,null,null,null,34,1
1767566446.537,977f63,77.25.128.130,MT,MXP,cloudflare.com,https,http/2,TLSv1.3,MT,San Pawl il-Bahar,33874,EPIC Communications,113,null,null,null,29,1
