timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767631252.647,179f15,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,480,136,22,282,37,3
1767631253.497,179f34,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,224,138,21,33,30,2
1767631254.399,179f13,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,143,54,24,29,35,1
1767631255.037,179f17,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,218,132,21,29,26,10
1767631255.629,179f21,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,273,140,24,34,74,1
1767631257.396,179f28,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,218,138,22,31,26,1
1767631258.331,179f8,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,224,135,21,31,36,1
1767631260.256,998f85,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,560,57,112,270,120,1
1767631261.399,998f56,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,437,54,121,130,131,1
1767631262.988,998f80,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,416,60,113,123,119,1
1767631264.213,179f24,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,139,53,22,33,29,2
1767631266.629,998f50,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,1891,54,1118,597,121,1
1767631268.348,998f37,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,805,54,105,534,111,1
1767631270.311,179f28,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,131,54,20,32,24,1
1767631271.167,998f67,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,430,54,114,121,141,0
1767631272.788,998f94,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,491,137,112,121,120,1
1767631273.998,179f27,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,134,54,21,31,25,3
1767631277.035,179f12,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,2224,57,2077,32,57,1
1767631278.045,179f25,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,258,54,27,144,32,1
1767631279.014,179f21,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,139,54,20,31,31,3
1767631316.643,998f91,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,664,55,113,123,261,112
1767631317.807,179f22,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,141,64,22,29,25,1
1767631318.914,179f33,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,117,40,22,29,25,1
1767631319.693,998f58,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,393,60,104,115,113,1
1767631321.493,998f80,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,927,54,124,132,128,489
1767631322.641,179f22,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,145,54,22,29,37,3
1767631324.202,179f19,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,135,57,21,31,24,2
1767631325.166,179f25,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,136,54,21,30,31,0
1767631326.232,179f21,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,146,54,25,34,28,5
1767631327.789,998f83,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,562,54,115,272,120,1
1767631331.173,179f30,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,2133,2057,20,31,24,1
1767631332.192,179f32,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,143,54,26,34,28,1
1767631332.834,179f12,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,120,42,21,30,26,1
1767631334.055,179f32,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,125,43,23,32,25,2
1767631335.215,998f16,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,515,57,104,110,111,133
1767631336.639,179f12,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,159,54,21,31,53,0
1767631337.23,179f30,103.172.27.104,PK,KHI,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,201,56,23,63,58,1
1767631338.426,998f130,103.172.27.104,PK,SIN,cloudflare.com,https,http/2,TLSv1.3,PK,Islamabad,150315,Virtury Cloud,540,138,129,136,136,1
