timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767652857.081,369f492,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,222,82,22,42,70,6
1767652857.93,980f38,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,118,29,22,38,28,1
1767652858.499,981f57,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,126,28,22,39,36,1
1767652859.68,981f17,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,123,30,23,39,29,2
1767652860.239,368f250,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,119,28,22,39,28,2
1767652860.808,981f19,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,123,28,23,41,30,1
1767652861.367,980f97,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,114,27,22,36,28,1
1767652862.452,368f314,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,116,26,22,39,27,2
1767652863.015,363f95,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,126,28,22,46,28,2
1767652863.574,368f182,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,125,27,23,41,31,3
1767652864.41,981f26,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,122,28,23,42,27,2
1767652865.216,363f180,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,120,28,22,41,28,1
1767652865.766,17f481,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,106,26,22,30,27,1
1767652866.335,981f50,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,109,25,23,34,26,1
1767652867.115,1047f110,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,119,27,22,33,36,1
1767652868.495,368f147,185.47.255.122,PR,MIA,cloudflare.com,https,http/2,TLSv1.3,PR,San Juan,136258,BrainStorm Network,123,27,23,44,28,1
