timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767674462.882,120f59,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,63,3,1,16,38,5
1767674463.451,120f37,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,27,2,1,15,8,1
1767674464.011,120f52,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,30,2,2,14,7,5
1767674464.844,120f62,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,33,4,2,17,9,1
1767674465.14,120f30,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,33,3,2,18,8,2
1767674466.194,120f57,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,38,3,1,26,7,1
1767674466.77,120f41,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,25,3,1,14,6,1
1767674467.851,120f30,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,2,1,14,5,2
1767674468.427,120f56,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,41,5,1,24,9,2
1767674468.979,120f31,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,29,3,1,18,6,1
1767674470.016,120f57,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,33,3,1,20,8,1
1767674470.588,120f65,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,26,2,2,16,5,1
1767674471.145,120f60,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,29,3,1,15,6,4
1767674471.702,120f40,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,2,1,14,6,1
1767674472.526,120f56,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,2,1,15,5,1
1767674472.841,120f39,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,2,2,13,6,1
1767674473.403,120f37,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,25,4,1,13,6,1
1767674473.983,120f65,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,32,7,1,17,6,1
1767674475.145,120f57,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,25,3,1,14,6,1
1767674475.961,120f61,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,3,1,14,5,1
1767674476.537,120f45,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,28,3,1,16,7,1
1767674477.644,120f44,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,27,2,1,14,6,4
1767674478.174,120f34,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,28,3,1,17,6,1
1767674478.733,120f38,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,26,3,1,15,6,1
1767674479.29,120f56,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,25,3,1,15,4,2
1767674480.201,120f54,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,27,3,1,15,7,1
1767674480.424,120f56,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,29,5,2,16,5,1
1767674480.982,120f41,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,25,2,1,16,5,1
1767674481.548,120f33,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,26,2,2,14,7,1
1767674482.853,120f61,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,37,4,2,17,6,8
1767674483.38,120f59,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,33,2,1,18,7,5
1767674483.94,120f26,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,27,2,1,14,9,1
1767674484.546,120f31,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,31,2,2,20,6,1
1767674485.492,120f64,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,23,2,1,13,6,1
1767674485.908,120f32,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,25,2,2,14,5,2
1767674487.039,120f35,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,30,5,2,16,6,1
1767674487.988,120f32,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,27,3,2,14,7,1
1767674488.272,120f36,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,32,2,1,20,7,2
1767674488.828,120f42,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,26,2,2,15,6,1
1767674489.389,120f40,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,22,2,1,13,5,1
1767674490.499,120f64,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,28,3,2,16,6,1
1767674490.716,120f46,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,27,3,1,15,6,2
1767674491.285,120f65,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,30,5,2,16,6,1
1767674492.161,120f62,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,28,3,2,15,6,2
1767674493.071,120f46,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,27,3,1,14,8,1
1767674493.294,120f51,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,2,2,14,5,1
1767674493.876,120f54,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,33,2,2,15,10,4
1767674494.76,120f41,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,31,3,1,19,6,2
1767674495.553,120f65,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,4,1,13,5,1
1767674495.867,120f59,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,2,1,15,5,1
1767674496.428,120f64,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,2,1,14,6,1
1767674496.996,120f47,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,27,5,2,13,6,1
1767674498.124,120f52,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,3,1,13,5,2
1767674498.667,120f64,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,28,3,1,17,5,2
1767674499.361,120f25,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,26,2,1,15,7,1
1767674500.621,120f56,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,31,3,1,15,9,3
1767674501.196,120f45,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,32,6,1,17,6,2
1767674502.387,120f54,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,26,3,1,16,5,1
1767674503.147,120f61,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,25,3,1,14,6,1
1767674503.529,120f57,194.87.85.194,RS,BEG,cloudflare.com,https,http/2,TLSv1.3,RS,Belgrade,205007,eServer,24,3,1,14,5,1
