timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767696071.124,1031f94,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,19,2,1,6,8,2
1767696071.708,128f269,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,0,1,7,6,0
1767696072.783,1030f73,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,15,1,1,7,5,1
1767696073.35,1030f64,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,0,2,6,6,0
1767696073.907,1031f74,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,0,1,6,7,0
1767696074.985,1031f38,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,11,0,1,5,5,0
1767696075.57,1030f39,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,22,0,1,10,11,0
1767696076.124,128f200,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,22,1,1,5,14,1
1767696076.68,128f327,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,17,1,1,8,6,1
1767696077.569,1030f40,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,17,0,1,8,7,1
1767696077.816,1030f66,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,1,2,6,5,0
1767696078.373,1031f94,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,13,1,1,5,6,0
1767696078.965,128f394,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,24,3,2,6,11,2
1767696079.82,1030f18,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,16,1,1,6,8,0
1767696080.604,1031f58,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,1,1,6,6,0
1767696081.17,128f408,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,15,1,1,6,7,0
1767696081.734,1031f56,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,15,0,1,8,5,1
1767696082.903,128f321,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,16,1,2,7,6,0
1767696083.927,1032f10,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,18,1,1,5,11,0
1767696084.496,1031f53,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,20,1,1,8,9,1
1767696085.413,1032f35,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,13,1,1,5,5,1
1767696085.643,1031f62,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,13,1,1,6,5,0
1767696086.223,128f390,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,1,1,6,5,1
1767696086.804,1031f25,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,17,0,1,6,10,0
1767696087.364,1030f65,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,2,1,6,5,0
1767696087.973,1030f42,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,15,1,1,8,5,0
1767696088.495,1031f2,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,13,1,1,6,5,0
1767696089.101,1031f13,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,15,1,1,8,5,0
1767696089.661,1032f18,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,13,1,1,5,6,0
1767696090.462,128f279,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,15,0,2,7,6,0
1767696090.792,128f219,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,1,1,6,6,0
1767696091.354,1031f27,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,16,0,2,7,6,1
1767696091.919,1030f72,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,17,1,1,6,8,1
1767696092.95,1030f43,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,17,1,1,8,6,1
1767696093.552,1030f55,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,32,1,2,23,5,1
1767696094.104,1031f102,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,13,1,1,6,5,0
1767696095.557,1031f88,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,12,1,1,5,5,0
1767696095.812,1031f72,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,1,1,7,4,1
1767696096.381,1030f62,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,21,1,1,8,11,0
1767696096.935,1030f6,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,1,1,6,5,1
1767696098.048,1031f75,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,13,1,1,7,4,0
1767696098.598,128f325,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,32,0,2,6,20,4
1767696099.147,1030f80,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,12,1,1,6,4,0
1767696099.706,1031f36,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,13,1,1,6,5,0
1767696100.641,128f253,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,17,1,1,7,7,1
1767696100.832,1030f74,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,13,0,1,7,5,0
1767696101.398,128f242,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,15,0,2,7,5,1
1767696102.197,128f283,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,18,2,1,6,9,0
1767696103.254,1032f52,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,1,1,7,5,0
1767696103.835,1031f28,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,19,0,1,6,11,1
1767696104.395,1032f28,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,12,0,1,6,5,0
1767696104.961,1031f52,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,15,0,2,5,5,3
1767696105.87,1031f41,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,12,0,1,6,5,0
1767696106.098,128f278,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,0,1,6,7,0
1767696106.674,128f324,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,27,1,1,5,20,0
1767696107.233,1031f9,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,26,1,1,5,19,0
1767696107.783,1031f13,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,14,2,1,7,4,0
1767696108.876,128f285,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,20,1,2,8,9,0
1767696109.426,1032f29,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,12,1,1,5,5,0
1767696109.99,128f379,195.72.60.169,SE,ARN,cloudflare.com,https,http/2,TLSv1.3,SE,Stockholm,215960,Hollander & Jacobsen,17,2,2,6,7,0
