timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767696120.309,451f10,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,70,16,1,23,25,5
1767696121.196,451f11,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,42,8,1,25,6,2
1767696121.425,451f15,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,36,15,1,13,6,1
1767696121.994,451f6,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,40,8,1,21,9,1
1767696122.557,451f6,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,40,16,1,16,6,1
1767696123.112,451f15,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,33,7,4,15,6,1
1767696123.744,451f15,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,36,15,1,14,5,1
1767696124.3,451f21,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,29,7,1,14,6,1
1767696124.864,451f11,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,31,8,1,14,7,1
1767696125.432,451f15,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,36,14,1,14,6,1
1767696126.255,451f5,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,49,15,1,24,7,2
1767696126.55,451f14,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,29,7,2,14,5,1
1767696127.117,451f11,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,35,16,1,12,5,1
1767696127.685,451f10,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,38,15,1,15,6,1
1767696128.732,451f10,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,28,7,1,15,4,1
1767696129.337,451f3,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,41,6,1,21,12,1
1767696129.891,451f16,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,29,8,1,14,5,1
1767696131.284,451f20,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,33,8,1,16,6,2
1767696131.525,451f14,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,42,16,1,14,9,2
1767696132.085,451f15,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,36,16,1,13,5,1
1767696132.652,451f6,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,41,15,0,18,6,2
1767696133.211,451f6,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,37,15,1,13,7,1
1767696134.286,451f3,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,35,7,1,18,8,1
1767696134.856,451f18,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,32,8,1,15,7,1
1767696135.411,451f12,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,30,7,1,15,5,2
1767696136.274,451f16,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,41,16,1,14,8,2
1767696136.642,451f16,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,29,8,1,14,5,1
1767696137.202,451f10,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,30,9,1,14,5,1
1767696137.772,451f20,95.131.202.104,SK,BTS,cloudflare.com,https,http/2,TLSv1.3,SK,Bratislava,34689,Castlegem,37,15,1,13,7,1
