timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767723540.965,488f6,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,132,11,31,43,46,1
1767723542.06,1058f40,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,148,12,39,50,46,1
1767723543.301,488f163,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,125,10,34,43,38,0
1767723544.226,97f584,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,131,11,31,45,43,1
1767723545.789,1058f12,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,135,10,35,51,39,0
1767723546.401,97f621,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,128,9,32,44,41,2
1767723548.575,97f689,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,125,11,30,46,38,0
1767723549.667,97f610,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,130,10,31,47,42,0
1767723551.172,1058f24,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,131,10,35,44,41,1
1767723551.848,488f185,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,128,10,32,48,38,0
1767723552.938,488f66,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,135,15,32,51,37,0
1767723554.53,1058f10,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,128,10,31,45,41,1
1767723555.719,1058f25,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,144,10,36,49,49,0
1767723557.306,1058f39,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,126,11,31,47,37,0
1767723557.924,1058f49,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,132,16,33,47,35,1
1767723559.351,97f732,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,121,14,30,40,37,0
1767723560.083,1058f9,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,125,9,34,44,38,0
1767723561.781,1058f83,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,132,11,31,46,43,1
1767723562.795,1058f112,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,148,11,39,49,49,0
1767723564.779,1058f22,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,139,15,34,46,44,0
1767723565.644,1058f104,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,132,9,33,47,42,1
1767723567.016,1058f97,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,139,10,35,49,45,0
1767723567.845,97f656,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,140,10,28,43,58,1
1767723568.939,488f35,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,160,11,43,53,52,1
1767723570.353,1058f6,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,127,10,32,44,40,1
1767723571.179,1058f97,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,121,11,28,50,31,1
1767723572.812,1058f44,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,138,13,35,47,43,0
1767723573.867,97f725,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,118,10,28,43,36,1
1767723575.437,488f12,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,133,13,33,46,40,1
1767723576.046,97f711,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,125,10,31,47,37,0
1767723577.12,1058f119,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,120,11,30,41,37,1
1767723578.745,1058f79,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,139,12,32,45,50,0
1767723579.826,97f736,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,129,11,33,42,43,0
1767723580.9,97f717,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,116,10,29,42,34,1
1767723581.995,97f724,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,122,12,30,42,37,1
1767723583.371,1058f118,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,114,10,28,42,33,1
1767723584.191,488f126,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,142,9,37,49,47,0
1767723585.545,1058f42,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,119,10,27,42,40,0
1767723586.368,488f142,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,121,9,30,46,36,0
1767723588.587,97f588,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,141,13,36,50,42,0
1767723589.64,1058f93,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,125,11,29,45,39,1
1767723591.164,1058f43,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,125,11,35,42,36,1
1767723591.834,488f50,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,152,10,42,54,46,0
1767723592.901,1058f51,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,133,11,33,46,43,0
1767723593.983,1058f8,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,118,10,29,43,36,0
1767723595.083,488f66,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,136,9,34,47,45,1
1767723596.282,97f627,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,114,12,28,38,35,1
1767723597.286,1058f85,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,151,10,40,53,48,0
1767723598.957,1058f93,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,124,13,31,45,35,0
1767723599.957,1058f9,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,121,9,31,45,36,0
1767723601.305,1058f44,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,121,13,31,42,35,0
1767723602.166,97f631,181.121.188.142,PY,GRU,cloudflare.com,https,http/2,TLSv1.3,PY,Asuncion,23201,Telecel,137,13,38,47,39,0
