timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767739295.318,696f213,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,205,47,44,56,55,3
1767739295.862,930f79,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,161,1,46,57,56,1
1767739297.15,696f255,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,156,1,46,57,51,1
1767739297.945,71f1072,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,149,1,44,54,48,2
1767739298.509,71f1143,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,155,1,46,56,51,1
1767739299.779,470f270,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,155,1,46,57,50,1
1767739300.347,608f60,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,154,1,44,58,50,1
1767739300.92,696f41,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,168,1,46,56,64,1
1767739301.361,928f110,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,157,1,44,59,51,2
1767739302.441,470f315,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,154,1,45,57,50,1
1767739303.144,470f58,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,157,1,46,57,52,1
1767739303.703,930f62,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,152,1,45,56,49,1
1767739304.284,472f98,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,153,1,45,56,50,1
1767739305.433,929f38,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,160,1,46,58,54,1
1767739305.996,636f119,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,151,1,46,55,48,1
1767739306.445,696f63,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,161,1,46,61,52,1
1767739307.708,1041f67,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,152,2,45,55,49,1
1767739308.264,933f62,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,150,1,46,54,48,1
1767739309.036,1041f40,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,152,1,46,56,48,1
1767739309.515,931f49,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,154,1,46,56,50,1
1767739310.586,1041f39,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,148,1,44,54,48,1
1767739311.15,472f475,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,154,1,46,56,51,0
1767739311.722,696f44,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,161,1,46,57,57,0
1767739313.12,470f90,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,148,1,44,54,48,1
1767739313.688,928f27,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,156,1,47,57,51,0
1767739314.514,637f71,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,147,1,43,53,49,1
1767739315.363,933f52,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,155,1,46,57,50,1
1767739315.946,696f166,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,154,2,46,55,51,0
1767739316.501,928f26,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,148,1,43,55,48,1
1767739317.917,928f92,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,153,0,46,56,50,1
1767739318.437,929f87,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,156,1,46,57,51,1
1767739319.067,932f35,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,154,1,43,54,54,2
1767739319.6,933f75,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,156,1,46,57,51,1
1767739320.523,636f100,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,156,1,46,57,51,1
1767739320.859,471f254,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,161,1,46,61,53,0
1767739321.417,696f280,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,156,1,46,56,52,1
1767739321.983,637f230,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,160,1,46,60,52,1
1767739323.045,608f4,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,152,1,43,58,49,1
1767739323.827,930f34,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,155,1,46,57,50,1
1767739324.987,472f412,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,157,2,46,58,50,1
1767739326.172,636f42,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,153,1,43,55,53,1
1767739326.737,929f37,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,154,1,46,56,51,0
1767739327.294,929f100,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,156,1,46,55,53,1
1767739328.481,930f90,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,158,1,47,56,51,3
1767739329.584,637f56,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,156,1,46,57,51,1
1767739330.211,471f308,176.234.10.208,TR,FRA,cloudflare.com,https,http/2,TLSv1.3,TR,Ankara,34984,Superonline Iletisim Hizmetleri,158,1,46,58,52,1
