timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767739315.947,80f221,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,182,4,2,11,163,2
1767739316.935,80f389,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,21,2,2,10,6,1
1767739318.547,80f145,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,21,2,1,13,5,0
1767739319.116,80f279,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,23,1,2,11,8,1
1767739320.057,80f307,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,21,1,3,10,6,1
1767739320.998,80f142,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,23,1,5,10,6,1
1767739321.557,80f451,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,18,1,2,9,5,1
1767739323.144,80f154,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,20,1,2,11,6,0
1767739323.773,80f122,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,21,1,3,10,7,0
1767739324.336,80f403,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,20,1,2,10,7,0
1767739324.908,80f188,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,25,1,4,9,10,1
1767739326.061,80f95,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,20,1,2,10,6,1
1767739327.137,80f319,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,26,1,3,10,12,0
1767739328.581,80f318,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,22,1,3,11,7,0
1767739329.987,80f105,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,244,1,226,11,6,0
1767739331.328,80f442,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,21,2,1,11,6,1
1767739332.406,80f448,114.34.81.84,TW,TPE,cloudflare.com,https,http/2,TLSv1.3,TW,Taipei,3462,Data Communication Business Group,22,1,3,11,6,1
