timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767760940.09,684f113,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,81,10,18,23,29,1
1767760940.618,199f11,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,19,2,0,9,5,3
1767760941.227,785f151,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,79,18,17,24,20,0
1767760942.133,199f14,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,61,13,1,9,12,26
1767760942.91,785f73,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,78,10,16,33,19,0
1767760943.471,684f74,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,77,26,13,18,20,0
1767760944.01,785f1,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,60,3,12,21,24,0
1767760945.083,199f11,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,19,1,1,10,5,2
1767760945.691,199f22,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,56,9,9,26,11,1
1767760946.239,199f25,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,27,14,1,6,6,0
1767760947.458,199f14,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,40,10,8,16,5,1
1767760947.895,785f134,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,50,2,13,18,17,0
1767760948.47,786f206,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,56,2,13,22,19,0
1767760949.05,786f198,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,76,14,13,20,28,1
1767760950.073,199f22,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,13,2,0,6,5,0
1767760950.453,199f12,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,58,8,3,8,15,24
1767760951.077,199f17,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,51,24,1,15,10,1
1767760951.604,199f19,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,16,1,1,9,4,1
1767760952.527,199f10,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,17,2,1,9,5,0
1767760953.291,785f143,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,56,9,12,19,16,0
1767760953.84,199f11,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,32,9,8,9,5,1
1767760954.4,199f12,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,18,1,1,10,6,0
1767760955.836,785f101,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,101,14,13,43,30,1
1767760956.377,785f187,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,64,14,13,19,17,1
1767760956.916,199f19,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,55,18,8,15,13,1
1767760957.781,785f133,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,89,17,17,35,19,1
1767760958.544,199f20,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,14,2,0,6,5,1
1767760959.121,199f17,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,25,14,0,7,4,0
1767760960.737,199f20,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,18,2,0,10,5,1
1767760961.117,786f131,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,66,16,13,21,16,0
1767760961.672,199f23,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,56,8,9,16,11,12
1767760962.49,785f53,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,71,16,17,20,17,1
1767760963.447,199f15,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,70,28,1,21,19,1
1767760964.007,786f188,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,64,2,13,27,20,2
1767760964.554,684f12,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,53,2,12,21,17,1
1767760965.28,199f13,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,33,14,0,12,6,1
1767760965.691,199f23,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,27,2,2,12,10,1
1767760966.275,785f161,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,65,8,17,22,17,1
1767760966.827,199f16,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,62,18,16,15,12,1
1767760968.068,786f174,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,52,3,12,20,16,1
1767760968.626,199f10,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,19,4,0,11,4,0
1767760969.792,29f138,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,63,2,12,27,21,1
1767760970.925,199f25,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,31,8,1,16,5,1
1767760971.499,684f97,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,68,1,13,21,32,1
1767760972.054,199f21,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,38,16,1,14,7,0
1767760973.26,199f12,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,21,1,1,8,11,0
1767760973.851,199f22,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,49,11,13,14,5,6
1767760974.42,199f21,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,50,17,16,10,5,2
1767760975.181,199f19,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,13,2,0,6,4,1
1767760976.097,199f14,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,49,14,17,13,5,0
1767760976.638,199f23,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,29,14,1,9,5,0
1767760977.249,199f20,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,66,9,8,14,16,19
1767760978.119,785f122,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,90,11,19,33,19,8
1767760978.864,199f12,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,13,2,0,6,5,0
1767760979.384,199f20,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,17,2,0,10,4,1
1767760980.558,786f132,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,61,13,13,18,17,0
1767760981.368,786f27,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,61,9,13,20,19,0
1767760981.925,199f19,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,52,15,9,22,5,1
1767760982.456,199f10,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,33,16,1,10,6,0
1767760983.184,199f20,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,14,2,0,8,4,0
1767760983.589,29f192,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,55,2,12,20,20,1
1767760984.209,786f138,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,52,2,13,19,18,0
1767760984.82,199f26,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,15,2,0,7,6,0
1767760985.834,785f50,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,68,13,13,19,23,0
1767760986.473,199f16,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,19,3,1,9,5,1
1767760987.028,199f10,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,34,13,2,10,8,1
1767760987.572,199f17,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,15,2,1,6,6,0
1767760988.703,786f57,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,49,1,12,19,17,0
1767760989.18,199f13,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,48,16,8,17,5,2
1767760989.629,684f49,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,64,14,13,20,17,0
1767760990.166,199f12,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,45,8,9,15,13,0
1767760991.017,199f10,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,28,14,0,8,5,1
1767760991.737,785f156,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,67,4,19,24,20,0
1767760992.364,785f33,23.94.29.38,US,YYZ,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,92,24,17,27,24,0
1767760992.91,199f12,23.94.29.38,US,BUF,cloudflare.com,https,http/2,TLSv1.3,US,Buffalo,36352,HostPapa,56,17,16,15,8,0
