timestamp,balancerId,clientIpAccodingCloudflare,clientCountryAccodingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767782530.99,368f261,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,400,84,43,134,121,18
1767782532.245,1047f113,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,263,74,40,89,56,4
1767782533.1,1047f84,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,294,76,42,104,56,16
1767782534.396,363f323,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,283,95,43,89,52,4
1767782535.315,981f82,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,302,88,42,96,70,6
1767782536.441,369f510,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,325,64,41,162,55,3
1767782538.011,368f333,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,274,85,43,91,51,4
1767782539.143,1047f25,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,336,74,41,168,50,3
1767782540.24,980f65,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,294,101,40,91,56,6
1767782541.388,980f44,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,293,91,41,105,52,4
1767782542.616,368f178,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,243,59,40,90,51,3
1767782543.57,363f247,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,317,60,42,158,54,3
1767782545.24,980f77,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,314,134,40,90,47,3
1767782546.246,980f27,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,298,70,41,134,50,3
1767782547.499,1047f87,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,281,98,40,88,52,3
1767782548.459,981f43,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,294,61,42,139,49,3
1767782549.536,981f95,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,268,74,44,88,58,4
1767782550.652,368f356,190.153.127.47,VE,MIA,cloudflare.com,https,http/2,TLSv1.3,VE,Barquisimeto,11562,Net Uno,304,63,40,147,49,5
