timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767804158.617,74f108,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,76,15,7,14,39,1
1767804159.175,74f160,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,39,12,7,9,11,0
1767804159.963,74f134,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,40,12,6,12,9,1
1767804161.534,74f165,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,42,15,6,10,11,0
1767804162.248,74f66,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,49,13,6,10,20,0
1767804162.804,74f133,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,44,15,7,9,13,0
1767804164.011,74f67,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,45,14,7,11,13,0
1767804164.571,74f105,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,38,12,6,10,9,1
1767804165.138,74f74,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,42,14,6,10,11,1
1767804166.091,74f138,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,40,15,6,9,10,0
1767804166.9,74f140,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,39,13,7,10,9,0
1767804167.47,74f140,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,42,12,6,10,13,1
1767804168.615,74f142,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,40,12,7,11,9,1
1767804169.361,74f99,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,39,13,6,10,10,0
1767804170.008,74f140,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,40,13,6,11,10,0
1767804170.574,74f141,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,46,13,6,10,16,1
1767804172.214,74f120,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,40,13,6,10,11,0
1767804172.778,74f124,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,46,15,6,11,14,0
1767804173.862,74f127,38.190.150.6,XK,SOF,cloudflare.com,https,http/2,TLSv1.3,XK,Pristina,213900,RS Computers,53,14,6,22,11,0
