timestamp,balancerId,clientIpAccordingCloudflare,clientCountryAccordingCloudflare,balancerColocationCenter,targetDomain,scheme,httpVersion,tlsVersion,clientCountry,clientCity,clientAsn,clientNetwork,latencyTotal,latencyDNS,latencyTCP,latencyTLS,latencyFirstByte,latencyDownload
1767878114.425,26f270,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,260,6,53,86,102,13
1767878115.964,491f40,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,209,4,52,85,65,3
1767878118.333,493f191,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,4,52,84,63,2
1767878119.742,492f164,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,210,3,53,86,64,4
1767878121.018,492f174,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,212,4,53,85,66,4
1767878122.81,493f175,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,207,5,53,85,61,3
1767878123.763,492f123,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,209,4,53,86,64,2
1767878125.308,491f54,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,209,4,52,87,63,3
1767878126.479,26f245,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,216,8,53,83,69,3
1767878127.66,26f240,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,209,4,51,86,66,2
1767878128.618,491f47,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,3,53,87,61,2
1767878130.271,492f109,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,3,53,87,60,2
1767878131.303,492f184,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,4,53,88,59,2
1767878132.527,492f184,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,207,4,53,88,60,2
1767878133.98,492f177,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,3,55,86,60,2
1767878135.514,491f72,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,267,58,56,88,63,2
1767878136.668,492f153,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,203,3,53,86,60,1
1767878138.098,26f225,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,3,53,85,63,2
1767878139.395,493f192,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,4,52,87,60,2
1767878140.892,492f184,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,209,4,52,88,62,3
1767878142.191,493f143,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,208,4,53,86,63,2
1767878144.328,26f269,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,203,4,53,85,59,2
1767878145.432,493f199,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,219,17,54,86,60,2
1767878147.024,492f186,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,3,54,87,59,3
1767878149.014,492f185,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,204,4,52,87,59,2
1767878150.327,26f242,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,4,52,87,60,2
1767878151.929,493f169,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,204,3,53,86,60,2
1767878153.017,492f191,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,209,6,53,85,63,2
1767878154.69,492f192,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,4,53,86,61,2
1767878155.774,492f185,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,4,53,87,60,2
1767878156.892,26f278,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,207,5,52,85,63,2
1767878157.964,26f225,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,210,4,53,88,62,3
1767878159.583,492f189,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,208,4,53,87,62,2
1767878160.66,26f286,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,4,52,87,60,2
1767878162.469,492f126,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,209,4,53,84,65,3
1767878164.031,491f22,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,210,5,52,87,64,2
1767878165.175,492f180,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,214,4,54,87,67,2
1767878166.405,492f175,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,3,53,87,60,2
1767878167.363,491f4,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,208,4,55,85,62,2
1767878168.44,493f137,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,210,4,55,87,62,2
1767878170.027,26f281,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,207,3,54,87,61,2
1767878171.114,492f144,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,209,3,53,86,65,2
1767878172.71,492f116,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,204,4,53,85,60,2
1767878173.791,491f73,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,208,6,52,89,59,2
1767878175.416,26f265,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,210,4,52,87,65,2
1767878176.485,492f169,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,210,4,56,87,61,2
1767878177.709,492f198,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,4,54,85,61,1
1767878178.793,491f61,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,213,4,56,86,65,2
1767878180.406,493f176,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,204,4,54,86,58,2
1767878181.495,492f194,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,208,4,52,87,63,2
1767878183.087,26f270,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,4,53,86,61,1
1767878184.171,492f187,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,4,52,86,62,2
1767878185.248,493f201,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,204,4,52,86,60,2
1767878186.336,492f149,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,3,53,87,60,2
1767878187.941,26f244,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,210,6,55,87,60,2
1767878189.032,492f199,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,212,4,56,85,66,1
1767878190.633,492f199,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,207,6,52,87,60,2
1767878191.713,491f33,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,4,52,87,61,2
1767878193.321,26f220,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,208,4,54,86,62,2
1767878194.402,492f190,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,204,3,53,86,60,2
1767878196.027,492f193,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,204,4,53,84,61,2
1767878197.108,492f196,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,4,53,87,59,2
1767878198.893,492f191,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,204,3,53,84,62,2
1767878200.25,492f197,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,204,3,53,86,60,2
1767878201.584,26f264,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,214,4,55,87,66,2
1767878203.21,26f289,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,208,6,53,84,63,2
1767878204.336,492f185,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,4,53,86,60,2
1767878205.937,491f67,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,207,5,54,83,63,2
1767878207.023,26f252,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,203,4,52,85,60,2
1767878208.633,492f178,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,219,5,56,88,64,6
1767878209.704,492f175,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,210,3,56,89,61,1
1767878211.301,26f273,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,4,52,86,62,2
1767878212.408,492f164,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,215,4,53,86,67,5
1767878214.002,491f26,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,212,4,52,86,68,2
1767878215.083,492f196,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,207,4,55,86,61,1
1767878216.162,492f178,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,5,53,85,60,2
1767878217.248,492f147,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,3,55,86,60,2
1767878218.84,491f47,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,5,53,86,59,2
1767878219.94,492f105,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,213,4,53,87,67,2
1767878222.142,26f283,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,209,5,52,87,63,2
1767878223.858,491f37,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,208,4,53,87,63,1
1767878224.821,491f72,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,204,4,52,86,60,2
1767878226.42,492f193,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,3,53,87,61,1
1767878227.498,492f181,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,207,4,53,86,62,2
1767878228.819,26f276,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,205,3,53,86,61,2
1767878230.168,491f68,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,203,4,53,86,59,1
1767878231.799,492f167,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,235,4,71,90,67,3
1767878232.847,26f279,113.11.240.232,VU,SYD,cloudflare.com,https,http/2,TLSv1.3,VU,Port-Vila,9249,Telecom Vanuatu,206,5,52,86,61,2
